Plant Code,State,County,Generator ID,Technology,Prime Mover,Nameplate Capacity (MW),Status,Operating Year,Planned Retirement Year,Energy Source,Fuel Category
60356.0,OH,Columbiana,SFCT1,Natural Gas Fired Combined Cycle,CT,344.4,OP,2021.0, ,NG,Gas
60356.0,OH,Columbiana,SFCT2,Natural Gas Fired Combined Cycle,CT,344.4,OP,2021.0, ,NG,Gas
60356.0,OH,Columbiana,SFST1,Natural Gas Fired Combined Cycle,CA,260.8,OP,2021.0, ,NG,Gas
60356.0,OH,Columbiana,SFST2,Natural Gas Fired Combined Cycle,CA,260.8,OP,2021.0, ,NG,Gas
60357.0,PA,Lackawanna,GEN1,Natural Gas Fired Combined Cycle,CS,499.5,OP,2018.0, ,NG,Gas
60357.0,PA,Lackawanna,GEN2,Natural Gas Fired Combined Cycle,CS,499.5,OP,2018.0, ,NG,Gas
60357.0,PA,Lackawanna,GEN3,Natural Gas Fired Combined Cycle,CS,499.5,OP,2018.0, ,NG,Gas
60368.0,PA,Snyder,CTG1,Natural Gas Fired Combined Cycle,CT,244.8,OP,2018.0, ,NG,Gas
60368.0,PA,Snyder,CTG2,Natural Gas Fired Combined Cycle,CT,244.8,OP,2018.0, ,NG,Gas
60368.0,PA,Snyder,CTG3,Natural Gas Fired Combined Cycle,CT,244.8,OP,2018.0, ,NG,Gas
60368.0,PA,Snyder,STG,Natural Gas Fired Combined Cycle,CA,460.0,OP,2018.0, ,NG,Gas
60376.0,OH,Trumbull,CTG1,Natural Gas Fired Combined Cycle,CT,311.0,OP,2018.0, ,NG,Gas
60376.0,OH,Trumbull,CTG2,Natural Gas Fired Combined Cycle,CT,311.0,OP,2018.0, ,NG,Gas
60376.0,OH,Trumbull,STG1,Natural Gas Fired Combined Cycle,CA,340.0,OP,2018.0, ,NG,Gas
60387.0,IL,Lee,GEN3,Natural Gas Fired Combustion Turbine,GT,190.0,OP,2023.0, ,NG,Gas
60387.0,IL,Lee,GEN4,Natural Gas Fired Combustion Turbine,GT,190.0,OP,2023.0, ,NG,Gas
60459.0,TX,Calhoun,PC1,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2017.0, ,NG,Gas
60459.0,TX,Calhoun,PC2,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2017.0, ,NG,Gas
60460.0,TX,Harris,CH1,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2017.0, ,NG,Gas
60460.0,TX,Harris,CH2,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2017.0, ,NG,Gas
60464.0,PA,Westmoreland,CTG1,Natural Gas Fired Combined Cycle,CT,370.0,OP,2018.0, ,NG,Gas
60464.0,PA,Westmoreland,CTG2,Natural Gas Fired Combined Cycle,CT,370.0,OP,2018.0, ,NG,Gas
60464.0,PA,Westmoreland,STG1,Natural Gas Fired Combined Cycle,CA,394.0,OP,2018.0, ,NG,Gas
60468.0,TX,Harris,GT-1,Natural Gas Fired Combustion Turbine,GT,121.5,OP,2018.0, ,NG,Gas
60589.0,PA,Cambria,GEN1,Natural Gas Fired Combined Cycle,CT,372.0,OP,2019.0, ,NG,Gas
60589.0,PA,Cambria,GEN2,Natural Gas Fired Combined Cycle,CT,372.0,OP,2019.0, ,NG,Gas
60589.0,PA,Cambria,GEN3,Natural Gas Fired Combined Cycle,CA,453.0,OP,2019.0, ,NG,Gas
60698.0,CA,Orange,GT1,Natural Gas Fired Combustion Turbine,GT,70.5,OP,2020.0, ,NG,Gas
60698.0,CA,Orange,GT2,Natural Gas Fired Combustion Turbine,GT,70.5,OP,2020.0, ,NG,Gas
60903.0,MA,Essex,1,Natural Gas Fired Combined Cycle,CA,158.4,OP,2018.0, ,NG,Gas
60903.0,MA,Essex,2,Natural Gas Fired Combined Cycle,CA,158.4,OP,2018.0, ,NG,Gas
60903.0,MA,Essex,3,Natural Gas Fired Combined Cycle,CT,240.7,OP,2018.0, ,NG,Gas
60903.0,MA,Essex,4,Natural Gas Fired Combined Cycle,CT,240.7,OP,2018.0, ,NG,Gas
60925.0,TX,Montgomery,1A,Natural Gas Fired Combined Cycle,CT,250.0,OP,2021.0, ,NG,Gas
60925.0,TX,Montgomery,1B,Natural Gas Fired Combined Cycle,CT,250.0,OP,2021.0, ,NG,Gas
60925.0,TX,Montgomery,1C,Natural Gas Fired Combined Cycle,CA,500.0,OP,2021.0, ,NG,Gas
60926.0,LA,St Charles,1A,Natural Gas Fired Combined Cycle,CT,250.0,OP,2019.0, ,NG,Gas
60926.0,LA,St Charles,1B,Natural Gas Fired Combined Cycle,CT,250.0,OP,2019.0, ,NG,Gas
60926.0,LA,St Charles,1C,Natural Gas Fired Combined Cycle,CA,500.0,OP,2019.0, ,NG,Gas
60927.0,LA,Calcasieu,1A,Natural Gas Fired Combined Cycle,CT,250.0,OP,2020.0, ,NG,Gas
60927.0,LA,Calcasieu,1B,Natural Gas Fired Combined Cycle,CT,250.0,OP,2020.0, ,NG,Gas
60927.0,LA,Calcasieu,1C,Natural Gas Fired Combined Cycle,CA,500.0,OP,2020.0, ,NG,Gas
