Facility ID,Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source
492.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2023.0,1.0,8175.507487520798,245.1,Gas,NG
525.0,Conventional Steam Coal,Coal,1976.0,48.0,6587.176332747511,465.4,Coal,BIT
533.0,Natural Gas Fired Combined Cycle,Combined cycle,2002.0,22.0,6191.175604289244,654.0,Gas,NG
544.0,Petroleum Liquids,Combustion turbine - aeroderivative,1996.0,28.0,0.0,222.6,Oil,KER
546.0,Petroleum Liquids,Combustion turbine - aeroderivative,1971.0,53.0,2081.3263034563565,495.29999999999995,Oil,RFO
562.0,Petroleum Liquids,Combustion turbine - aeroderivative,1973.0,51.0,4162.652606912713,786.4,Oil,RFO
564.0,Conventional Steam Coal,Coal,1987.0,37.0,9324.027337384296,1262.0,Coal,BIT
568.0,Natural Gas Fired Combined Cycle,Combined cycle,2019.0,5.0,2418.5876317249026,576.3,Gas,NG
593.0,Natural Gas Steam Turbine,Oil/Gas steam,1973.0,51.0,6243.978910369069,710.3,Gas,NG
594.0,Conventional Steam Coal,Coal,1980.0,44.0,3293.5881663737555,464.1,Coal,BIT
602.0,Conventional Steam Coal,Coal,1984.0,40.0,6587.176332747511,1370.2,Coal,BIT
607.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1984.0,40.0,2711.3936550889957,375.99999999999994,Gas,NG
609.0,Natural Gas Fired Combined Cycle,Combined cycle,2013.0,11.0,4797.184615384615,1295.0,Gas,NG
612.0,Natural Gas Fired Combined Cycle,Combined cycle,1969.0,55.0,11007.351916305912,2680.8999999999996,Gas,NG
613.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2016.0,8.0,8327.436860353446,1215.9,Gas,NG
617.0,Natural Gas Fired Combined Cycle,Combined cycle,2016.0,8.0,4833.940193738594,1352.0,Gas,NG
619.0,Natural Gas Fired Combined Cycle,Combined cycle,2014.0,10.0,4771.751848093926,1295.0,Gas,NG
620.0,Natural Gas Fired Combined Cycle,Combined cycle,1969.0,55.0,8369.69347885898,2377.7999999999997,Gas,NG
621.0,Natural Gas Fired Combined Cycle,Combined cycle,2007.0,17.0,4620.655989095247,1224.0,Gas,NG
628.0,Conventional Steam Coal,Coal,1984.0,40.0,13842.93922792222,3449.0,Coal,BIT
634.0,Natural Gas Fired Combined Cycle,Combined cycle,2009.0,15.0,8475.16991830913,1475.6,Gas,NG
641.0,Natural Gas Steam Turbine,Oil/Gas steam,1973.0,51.0,13775.643538839293,2107.5,Gas,NG
643.0,Natural Gas Fired Combined Cycle,Combined cycle,2002.0,22.0,2382.791304347826,661.5,Gas,NG
645.0,Conventional Steam Coal,Coal,1985.0,39.0,7631.766978203576,1797.0,Coal,BIT
663.0,Natural Gas Steam Turbine,Oil/Gas steam,1981.0,43.0,6446.022554188637,471.0,Gas,NG
664.0,Natural Gas Fired Combined Cycle,Combined cycle,2001.0,23.0,2009.6086380757952,141.6,Gas,NG
666.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2000.0,24.0,1607.9744844580687,370.0,Gas,NG
667.0,Natural Gas Steam Turbine,Oil/Gas steam,1977.0,47.0,8668.502636203868,1407.1000000000001,Gas,NG
673.0,Petroleum Liquids,Combustion turbine - aeroderivative,1976.0,48.0,3985.518453427065,98.7,Oil,DFO
675.0,Natural Gas Fired Combined Cycle,Combined cycle,1992.0,32.0,3426.4387814879906,133.6,Gas,NG
676.0,Natural Gas Fired Combined Cycle,Combined cycle,2001.0,23.0,3718.2864873413937,545.6,Gas,NG
683.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1992.0,32.0,3044.493263034564,342.8,Gas,NG
688.0,Natural Gas Fired Combined Cycle,Combined cycle,1977.0,47.0,12060.428487659154,673.1,Gas,NG
689.0,Natural Gas Fired Combined Cycle,Combined cycle,2000.0,24.0,1732.3809718252346,270.1,Gas,NG
