Facility ID,Latitude,Longitude,wind_cf,pvout
2965,36.116492,-95.990974,0.34363106,1570.21
3006,35.0847,-98.23,0.4152862,1647.643
3008,36.43725,-99.22543,0.45322835,1691.473
3096,40.464851,-80.043761,0.22116181,1297.003
3111,40.12282,-77.1716,0.2820056,1393.429
3113,40.910205,-75.079398,0.15941955,1386.124
3116,39.760634,-76.635341,0.40050083,1450.042
3118,40.3842,-79.0611,0.22908214,1272.166
3122,40.512825,-79.196107,0.28851947,1289.698
3131,41.06755,-78.366228,0.13449569,1293.716
3132,41.835947,-79.188668,0.1986454,1264.861
3136,40.6604,-79.3411,0.22981134,1294.811
3138,40.937939,-80.369007,0.27556437,1295.176
3140,40.096111,-76.6962,0.2847914,1392.698
3148,40.797762,-75.105416,0.23475224,1391.968
3149,41.0714,-76.6672,0.23023437,1343.755
3161,39.858,-75.323,0.28105327,1432.145
3168,39.984469,-75.075247,0.26570004,1434.337
3176,41.200556,-76.07,0.11063762,1312.343
3236,41.8167,-71.4042,0.23564172,1453.695
3250,34.4185,-80.1657,0.2675194,1554.869
3264,34.6022,-82.435,0.24054715,1577.88
3285,32.8265,-79.9634,0.27102154,1594.316
3287,34.0556,-81.2172,0.23114924,1569.479
3295,33.435,-81.9111,0.18906964,1566.922
3297,33.8264,-80.6228,0.15831363,1562.905
3298,33.0158,-79.9297,0.21806313,1562.174
3338,45.429884,-98.49396,0.4136761,1515.788
3393,35.074087,-90.14868,0.36355898,1516.883
3396,36.0211,-84.1567,0.20514262,1482.915
3399,36.3903,-87.6539,0.2389655,1470.131
3403,36.3156,-86.4006,0.26959977,1450.408
3405,36.3767,-82.9639,0.17343388,1485.837
3406,36.0278,-87.9861,0.25498182,1481.089
3407,35.8992,-84.5194,0.18097007,1483.28
3439,27.5667,-99.5089,0.23557094,1591.029
3441,27.819412,-97.419203,0.31194273,1558.887
3443,28.7883,-97.01,0.2789721,1496.794
3452,32.8358,-96.5458,0.38635135,1557.791
3453,32.7231,-96.9358,0.34067258,1574.958
3456,31.983587,-106.431777,0.19167212,1968.332
3457,30.4356,-95.5214,0.3059435,1498.621
3459,30.0242,-93.878,0.3028637,1521.632
3460,29.75,-94.9256,0.28850308,1547.199
3470,29.4828,-95.6311,0.30861983,1494.968
3476,32.3766,-94.6415,0.33620295,1526.38
3478,32.848163,-94.547986,0.24332327,1527.841
3482,33.5239,-101.7392,0.3881231,1801.413
3484,35.283357,-101.746423,0.5128618,1811.64
3485,34.1661,-102.4114,0.41130918,1825.154
3490,33.1344,-98.6117,0.41917676,1642.894
3491,32.7283,-97.2192,0.30887446,1594.682
3504,31.93985,-94.989834,0.30495623,1518.344
3507,32.124519,-96.101277,0.37012005,1546.469
3559,25.9131,-97.5214,0.2953179,1528.936
3576,33.068055,-96.452481,0.4445214,1558.156
3601,30.1456,-97.2708,0.19393635,1505.926
3604,33.6039,-101.8408,0.25824422,1816.754
3609,29.3525,-98.5761,0.18464975,1538.798
3611,29.308056,-98.3242,0.2681138,1519.44
3612,29.2567,-98.3825,0.27056473,1523.823
3628,32.6581,-98.3103,0.33232585,1616.596
3631,28.8947,-97.135,0.30716562,1498.986
3648,40.7686,-111.9289,0.097429894,1610.752
3775,36.9333,-82.1997,0.12257233,1421.188
3785,37.7061,-75.7031,0.35598603,1549.025
3797,37.3822,-77.3833,0.26671892,1506.291
3804,38.5367,-77.2806,0.2947259,1474.88
3809,37.2144,-76.4611,0.35396406,1533.32
3845,46.755938,-122.859764,0.18749641,1179.027
3935,38.4731,-81.8233,0.19205905,1355.078
3943,39.710833,-79.9275,0.20804717,1311.978
3944,39.384167,-80.3325,0.20079523,1330.606
3948,39.8297,-80.8153,0.19261116,1306.864
3954,39.2008,-79.2636,0.5452061,1408.404
3982,46.587222,-90.9017,0.3331813,1345.216
3992,43.0789,-89.3744,0.40604052,1407.674
4040,43.3842,-87.8689,0.40573004,1391.602
4041,42.8457,-87.8294,0.43070337,1385.028
4050,43.715142,-87.705863,0.41724348,1385.393
4072,44.54,-88.0086,0.33098322,1402.56
4076,45.0869,-87.6881,0.30091193,1416.805
4078,44.8606,-89.6553,0.29017416,1408.404
4158,42.8378,-105.7769,0.38935405,1647.278
4162,41.7581,-110.5983,0.32691345,1728.728
4195,33.1707,-96.1264,0.4001011,1555.965
4266,33.1975,-97.1061,0.2967791,1611.848
4271,44.303583,-91.912647,0.31572762,1381.741
4937,30.558,-98.3721,0.20928559,1572.036
4939,27.6064,-97.3117,0.42972973,1592.125
4940,35.9978,-95.9567,0.40473846,1564.0
5083,39.3757,-74.9654,0.2672426,1471.958
6002,33.6319,-87.0597,0.17591275,1507.752
