facility_id,site_name,state,latitude,longitude,annual_generation_mwh,original_fuel,new_technology,abatement_cost,NOx,SOx,PM2_5,VOC,NH3,CO2,transition,height,diam,temp,velocity
7759,Plant 7759,IN,39.902556,-86.24405,340512.57,Gas,NGCC,-659.8990242262989,37.4563827,3.4051257,3.4051257,6.8102514,3.4051257,125989.65090000001,Gas to NGCC,50.0,5.0,400.0,20.0
7763,Plant 7763,IN,39.9528,-85.5039,253972.89,Gas,NGCC,-435.04420005131846,27.937017900000004,2.5397289000000005,2.5397289000000005,5.079457800000001,2.5397289000000005,93969.9693,Gas to NGCC,50.0,5.0,400.0,20.0
7768,Plant 7768,GA,31.3869,-84.08,79937.7,Gas,NGCC,-595.2618778085008,8.793147,0.799377,0.799377,1.598754,0.799377,29576.948999999997,Gas to NGCC,50.0,5.0,400.0,20.0
7790,Plant 7790,UT,40.0864,-109.2844,3662057.25,Coal,NGCC,70.23141762372207,402.8262975,36.6205725,36.6205725,73.241145,36.6205725,1354961.1824999999,Coal to NGCC,50.0,5.0,400.0,20.0
7825,Plant 7825,AR,33.6094,-93.7924,146823.89,Gas,NGCC,-103.45023504335374,16.150627900000003,1.4682389000000002,1.4682389000000002,2.9364778000000005,1.4682389000000002,54324.83930000001,Gas to NGCC,50.0,5.0,400.0,20.0
7826,Plant 7826,NC,35.7314,-80.6019,2967899.75,Gas,NGCC,-677.4551134307525,326.4689725,29.6789975,29.6789975,59.357995,29.6789975,1098122.9075,Gas to NGCC,50.0,5.0,400.0,20.0
7829,Plant 7829,GA,32.9842,-83.8464,156370.18,Gas,NGCC,-403.5639891161933,17.200719799999998,1.5637018,1.5637018,3.1274036,1.5637018,57856.9666,Gas to NGCC,50.0,5.0,400.0,20.0
7834,Plant 7834,SC,34.347734,-82.774478,4486453.4,Gas,NGCC,-433.2090768118977,493.5098740000001,44.864534000000006,44.864534000000006,89.72906800000001,44.864534000000006,1659987.7580000001,Gas to NGCC,50.0,5.0,400.0,20.0
7846,Plant 7846,FL,30.320556,-81.947222,3307524.31,Gas,NGCC,-300.7962208452005,363.8276741,33.0752431,33.0752431,66.1504862,33.0752431,1223783.9947,Gas to NGCC,50.0,5.0,400.0,20.0
7848,Plant 7848,MO,38.7538,-93.9983,195009.25,Gas,NGCC,-821.2729155746902,21.451017500000003,1.9500925000000002,1.9500925000000002,3.9001850000000005,1.9500925000000002,72153.4225,Gas to NGCC,50.0,5.0,400.0,20.0
7863,Plant 7863,WI,44.902814,-91.568096,35349.0,Gas,NGCC,-631.3471949556188,3.8883900000000002,0.35349,0.35349,0.70698,0.35349,13079.13,Gas to NGCC,50.0,5.0,400.0,20.0
7869,Plant 7869,NY,40.8275,-73.6478,162159.43,Gas,NGCC,-306.385624596443,17.8375373,1.6215943000000002,1.6215943000000002,3.2431886000000003,1.6215943000000002,59998.9891,Gas to NGCC,50.0,5.0,400.0,20.0
7870,Plant 7870,WA,48.746,-122.486,630305.53,Gas,NGCC,128.2687593085451,69.33360830000001,6.3030553000000005,6.3030553000000005,12.606110600000001,6.3030553000000005,233213.0461,Gas to NGCC,50.0,5.0,400.0,20.0
