,eis facility id,site name,state,site latitude,site longitude,primary naics code,primary naics description,NH3,NOx,Other,PM2_5,SOx,VOC,geometry
11594,4083011,"LONG BEACH GENERATION, LLC",CA,33.7641,-118.2248,221112,Fossil Fuel Electric Power Generation,2.2982981077056004,2.8848474732000002,13948.343626500357,3.9484892760014088,0.232217611724714,0.5304127737832,POINT (-118.2248 33.7641)
11595,4083111,"AES ALAMITOS, LLC",CA,33.7688,-118.1009,221112,Fossil Fuel Electric Power Generation,53.2760205016424,72.8325648157184,1511777.2554328744,98.28183692524973,10.654753647067883,41.39440514470954,POINT (-118.1009 33.7688)
11596,4083411,"AES REDONDO BEACH, LLC",CA,33.8504,-118.395,221112,Fossil Fuel Electric Power Generation,14.6304722088679,15.690696383670156,193219.40821492468,5.962295703032554,1.2241474500211678,10.848677938332695,POINT (-118.395 33.8504)
11601,4084611,EL SEGUNDO ENERGY CENTER LLC,CA,33.909999,-118.425104,221118,Other Electric Power Generation,14.166234025944002,4.4179896838,97151.67849997776,5.922724846690636,0.7334266300161879,1.0785882247756002,POINT (-118.425104 33.909999)
11989,4197011,KERN RIVER COGENERATION FACILITY,CA,35.4518,-118.9851,221118,Other Electric Power Generation,0.0,0.020940908227316,135133.92408440652,0.002489823916166148,1.133018129835438e-05,0.0010423552662600002,POINT (-118.9851 35.4518)
11990,4197111,"MT POSO COGENERATION COMPANY, LLC",CA,35.577017,-119.00603,221118,Other Electric Power Generation,0.001186503655580936,23.29363106912842,3.054584318209331,2.41566277777463,0.7888147444761582,0.00039371817716,POINT (-119.00603 35.577017)
11991,4197311,CALPINE UNIT 13: POWER/STEAM F,CA,38.772719,-122.728942,221112,Fossil Fuel Electric Power Generation,138.34567285,0.0,0.0,0.0,0.0,0.0,POINT (-122.728942 38.772719)
11992,4197411,CALPINE UNIT 16: POWER/STEAM F,CA,38.769136,-122.724809,221112,Fossil Fuel Electric Power Generation,116.210365194,0.0,0.0,0.0,0.0,0.0,POINT (-122.724809 38.769136)
12000,4198711,H.L. POWER COMPANY,CA,40.370758,-120.267339,221122,Electric Power Distribution,0.05939928162861001,136.077711,69.22412879638549,85.759484696501,2.9335360781958,1.2331815763190002,POINT (-120.267339 40.370758)
14706,4919511,CARSON COGENERATION PROJECT,CA,38.44574,-121.46261,221112,Fossil Fuel Electric Power Generation,8.721370605313005,8.30383568533288,121764.24139565932,1.4454856275436478,0.6731639942238599,2.012277917333421,POINT (-121.46261 38.44574)
14707,4919611,SACRAMENTO POWER AUTHORITY,CA,38.51093,-121.47339,221112,Fossil Fuel Electric Power Generation,2.4287091935534355,23.23390837614,281625.74424969807,15.231407218275091,1.9937528883351465,1.5215715300911479,POINT (-121.47339 38.51093)
14708,4919711,SACRAMENTO COGENERATION AUTHOY,CA,38.5307,-121.4004,221112,Fossil Fuel Electric Power Generation,13.76049326054721,19.8446661875,326721.4868759928,11.669997618197709,2.1474735671676104,0.8409887667963782,POINT (-121.4004 38.5307)
14857,4947111,COOLWATER GENERATING STATION,CA,34.8622,-116.854,221112,Fossil Fuel Electric Power Generation,0.0,0.0,3.4798444713591996e-05,0.0,0.0,0.0009135350331800001,POINT (-116.854 34.8622)
15103,5003711,Carlsbad Energy Center,CA,33.13609,-117.33645,221112,Fossil Fuel Electric Power Generation,0.0,13.540182208131041,241146.61503716564,30.74234443950516,2.489486203038912,0.278275244896803,POINT (-117.33645 33.13609)
17402,5635111,"GLENDALE CITY, GLENDALE WATER & POWER",CA,34.1556,-118.2782,221112,Fossil Fuel Electric Power Generation,12.987388279627302,35.48090236614,111223.51622521011,50.902268367008375,2.758297609075846,4.94799241008072,POINT (-118.2782 34.1556)
17540,5681911,"LA CITY, DWP VALLEY GENERATING STATION",CA,34.2445,-118.3926,221112,Fossil Fuel Electric Power Generation,12.681929325643024,39.37607966990853,457633.0321702194,7.977747870139831,2.6494348734834214,2.3840770515147742,POINT (-118.3926 34.2445)
