State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
MA,1682,52713.74,0.382,33940.177,45.314,561871.236
MI,1702,676331.09,240.824,789074.466,260.532,7872226.534
MI,1710,7152318.55,4220.542,7314171.66,2533.851,69738404.785
MI,1728,22835.68,0.079,15571.507,4.874,262010.687
MI,1730,2451.09,0.01,2065.6,12.255,35010.9
MI,1733,12527090.83,2835.868,12476220.915,3824.884,118927292.214
MN,1891,109306.86,1.189,84115.178,66.798,1415413.98
MN,1893,5502945.38,578.625,5682618.346,2335.304,54229380.094
MN,1904,1834098.19,4.61,906180.375,143.856,15248168.46
MN,1912,2506403.22,5.504,1090360.779,122.175,18347374.685
MN,1915,1052113.21,557.515,1090211.399,492.607,10394871.612
MN,1927,2518530.72,5.276,1045141.675,156.951,17586494.944
MN,2038,49912.17,0.175,34318.547,15.384,580870.777
MN,2039,58015.12,0.205,40576.474,10.764,682188.959
MS,2047,595735.51,2.09,413930.766,189.794,6965205.608
MS,2049,3468306.05,10.216,2023538.044,4074.921,34082966.602
MS,2070,2200212.09,5.714,1131894.851,230.894,19043793.27
MO,2079,2829160.54,1295.239,2672598.846,806.351,27818848.22
MO,2098,73564.88,0.994,40950.366,172.464,1102688.844
MO,2103,16643809.94,39245.652,16829998.549,7255.606,160469040.183
MO,2107,3354458.13,901.887,3532883.106,3545.624,33685025.661
MO,2161,138161.22,0.781,109480.322,139.571,1837359.011
MO,2167,4979818.71,10812.986,4745547.382,10018.575,45250423.159
MO,2168,6185253.88,11289.175,6532567.832,7828.997,62290406.39
MT,2176,1918.42,0.011,1390.035,1.733,22820.626
NE,2226,26021.16,0.102,18436.7,39.084,312623.9
NE,2240,440210.16,889.276,494723.359,537.581,4856195.634
NE,2241,6133.22,0.077,5629.93,2.154,90983.509
NE,2277,814047.26,2507.016,902412.16,1939.405,8604239.769
NE,2291,1724355.03,4314.541,1737643.604,2476.684,17473256.92
NE,2292,164689.29,0.669,97923.287,129.475,2185261.149
NV,2322,136104.11,0.444,87755.335,18.671,1476606.79
NV,2330,442094.04,1.487,294576.894,326.889,4956833.677
NV,2336,3991273.74,9.284,1839079.581,372.005,30945951.538
NH,2364,180864.42,99.488,185980.62,284.332,1833682.762
NJ,2379,4217.29,0.207,4538.0,6.138,76633.0
NJ,2390,705.76,1.09,1208.3,1.235,16461.9
NJ,2393,31733.12,0.122,23464.082,8.533,394770.089
NJ,2398,2746965.3,6.147,1219081.982,172.256,20490699.743
NJ,2399,27576.95,0.082,15788.47,12.803,263845.75
NJ,2404,144303.3,0.528,93842.931,28.332,1578267.073
NJ,2406,4808500.4,11.084,2047492.067,126.929,34418876.677
NJ,2411,3351747.81,6.673,1321921.114,68.662,22225226.031
NJ,2434,71422.25,0.21,41615.554,9.237,699870.105
NM,2442,8005566.09,1813.383,7852749.907,2608.054,76537500.797
NM,2444,967891.07,1.382,586780.392,969.325,9873518.038
NM,2446,502608.49,1.543,305706.218,377.482,5144081.956
NM,2450,450210.27,1.609,318707.633,649.313,5362913.203
NM,2454,1473710.54,4.817,953967.992,810.124,16052316.263
NY,2480,20001.88,0.067,12860.012,7.898,216948.162
NY,2490,1118008.07,3.526,699343.336,410.591,11767895.166
NY,2493,2132611.0,28.734,2162204.3,926.026,36338515.9
NY,2500,2845623.8,18.922,1416319.741,429.179,23783439.849
NY,2504,210.0,3.921,223559.275,165.477,3753665.525
NY,2511,1525372.43,23.361,941456.136,830.472,15814047.61
NY,2514,969.0,0.009,1814.6,6.485,22402.2
NY,2516,2555833.29,114.43,1555544.702,701.292,26022454.491
NY,2517,392069.31,37.511,257123.157,101.267,4270867.426
NY,2521,40.0,0.0,59.6,0.215,734.0
NY,2527,665425.54,1.936,388036.305,66.151,6544486.668
NY,2539,4177827.24,12.636,2503077.651,116.059,42119085.223
NY,2594,61271.31,163.232,56824.109,64.046,706156.799
NY,2625,975500.29,33.075,566310.975,548.315,9532400.665
NY,2628,912.4,0.006,1067.584,7.286,17914.978
NY,2632,945.29,0.005,1007.219,7.766,16947.229
NY,2679,24549.1,0.083,14645.849,1.512,245657.946
NY,2682,42292.25,0.148,29155.55,28.303,490639.425
NC,2706,3954153.49,8.07,1598661.793,398.192,26895232.306
NC,2707,0.0,3.633,1176.8,8.717,14526.6
NC,2709,6596810.9,11.313,2773017.845,965.461,46646842.201
NC,2712,2390750.27,2585.819,4504462.795,3088.877,43955510.321
NC,2713,3965515.82,6.61,1639087.729,572.005,27580128.849
NC,2716,0.0,7.427,2405.6,17.822,29704.3
NC,2718,138978.99,15.539,154136.078,229.337,1502307.933
NC,2720,3950426.17,8.114,1607244.542,119.662,27044907.141
NC,2721,5735134.25,1023.025,4068163.747,2022.281,51019013.276
NC,2723,3864289.46,5.648,1612624.345,413.1,27135372.133
NC,2727,7397214.42,1421.963,5647232.47,6261.623,69991223.211
ND,2790,29532.16,0.119,23608.183,9.424,397238.131
ND,2817,3666560.42,1870.418,4141625.71,5034.124,38041987.159
ND,2823,4993387.37,1996.518,5462370.176,8253.113,50173327.191
OH,2828,10415660.46,10688.646,10120043.719,3596.168,98664486.169
OH,2832,3149522.73,5274.746,3130101.525,3921.629,30507779.116
OH,2847,394193.4,3.448,289865.7,228.668,4910313.7
OH,2866,1073076.63,324.042,1180104.483,510.429,11251958.972
OH,2869,1111697.3,5.142,789403.311,186.705,13302722.04
OH,2876,5212400.49,3297.682,5336557.04,3144.703,52013253.607
OH,2880,233591.47,0.937,185551.575,132.777,3122265.422
OK,2951,792144.41,2.865,567477.023,1047.64,9548731.991
OK,2952,1902992.01,2193.331,1674060.005,1825.489,21014559.186
OK,2953,565666.4,1.677,332344.388,228.862,5592422.21
OK,2956,2795623.1,8.835,1750019.987,1958.487,29447323.507
OK,2963,3772183.52,3188.072,3439813.224,2985.105,42724484.123
OK,2964,1161258.72,3.957,782904.114,1772.379,13192493.682
OK,2965,242123.21,0.849,168255.437,377.159,2831284.638
OK,3006,1101809.93,0.446,88154.182,142.512,9927476.327
OK,3008,104270.15,0.335,66291.221,99.454,1115030.485
PA,3096,82280.82,0.363,71984.67,13.094,1211252.344
PA,3111,3335.42,2.601,4173.2,17.078,51511.6
PA,3113,707.9,0.094,745.337,1.414,9184.829
PA,3116,413.0,0.365,585.2,2.438,7224.1
PA,3118,3136317.76,1077.722,3069606.847,995.137,29956846.153
PA,3122,1202671.92,737.539,1259350.466,619.774,12274364.697
PA,3131,1721110.74,5.318,1053069.86,515.205,17720023.248
PA,3132,19611.11,0.085,16584.803,70.672,278957.039
PA,3136,3073565.66,6416.166,3039819.772,998.64,29627852.423
PA,3138,951670.43,3.036,601388.059,347.588,10119566.461
PA,3140,2979865.37,210.452,1834804.81,1175.016,30504757.277
PA,3148,614281.72,29.231,423145.966,257.561,7119719.294
PA,3149,640313.57,429.12,528826.844,294.369,6494801.63
PA,3161,30652.09,0.161,28331.933,14.803,446142.603
PA,3168,826.5,1.098,879.8,3.151,10865.9
PA,3176,625646.86,1.458,288860.363,24.513,4860729.008
RI,3236,1203894.25,5.494,895888.625,219.826,15044626.575
SC,3250,24140.09,0.091,17983.139,14.499,285744.853
SC,3264,6185062.57,13.001,2574912.372,205.966,43323878.266
SC,3285,17468.8,0.081,16372.208,17.24,242190.101
SC,3287,782344.96,2.02,402844.327,244.438,6795623.662
SC,3295,1427856.3,4.851,958432.722,224.586,16126062.788
SC,3297,1917449.36,266.473,1790311.5,918.146,17449451.258
SC,3298,2166731.14,520.477,2210026.965,2568.644,21540248.683
SD,3338,35576.04,0.139,25226.2,34.308,426254.8
TN,3393,5494221.87,13.337,2132715.549,235.735,35883290.789
TN,3396,847648.16,348.141,901593.139,446.951,8787436.555
TN,3399,9747990.78,4074.45,10320486.05,3504.61,100801039.935
TN,3403,4308843.25,1431.31,4599323.74,1236.607,44144181.602
TN,3405,4419586.2,9.518,1884780.45,159.336,31714397.528
TN,3406,1009243.49,15.377,493125.151,108.485,8801893.268
TN,3407,2801316.27,1942.417,3199509.069,1344.036,30807749.475
TX,3439,42270.4,0.121,24081.589,2.29,405213.473
TX,3441,1117916.86,2.484,492090.867,73.531,8280358.848
TX,3443,987193.16,2.298,455106.736,60.463,7658066.885
TX,3452,936651.69,4.484,621299.69,220.549,10304476.883
TX,3453,632847.13,2.174,430517.888,315.359,7244202.187
TX,3456,3281604.63,9.204,1823136.522,1706.509,30677846.665
TX,3457,1832921.73,5.578,1104906.281,247.484,18592125.938
TX,3459,3908685.64,11.885,2354175.832,2737.657,39613130.104
TX,3460,3075441.34,9.448,1871559.045,1107.747,31492636.725
TX,3470,11608459.37,28497.819,10916618.872,4995.527,115608706.637
TX,3476,501603.96,1.522,301381.902,374.358,5071367.391
TX,3478,1191420.39,3.703,733454.707,930.535,12341716.581
TX,3482,1924611.04,5.985,1184451.075,849.23,19927084.523
TX,3484,1307457.63,4.131,815657.71,784.247,13724960.44
TX,3485,690767.61,2.133,422481.125,459.597,7108288.653
TX,3490,1200760.55,3.51,695282.479,2356.001,11699142.949
TX,3491,1627558.58,5.732,1135286.904,153.783,19103428.874
TX,3504,1105309.75,3.561,705385.243,714.903,11869253.817
TX,3507,339322.11,1.269,251395.385,518.463,4230250.784
TX,3559,117878.87,0.465,92181.948,35.74,1551187.878
TX,3576,126445.5,0.417,82501.425,40.948,1388931.525
TX,3601,1266120.58,3.909,774374.908,900.159,13030336.159
TX,3604,36797.57,0.095,18814.585,6.156,316573.817
